TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,TEAM_ABBREVIATION,G,WIDE_OPEN_FGA_FREQUENCY,WIDE_OPEN_FGM,WIDE_OPEN_FGA,WIDE_OPEN_FG_PCT,WIDE_OPEN_EFG_PCT,WIDE_OPEN_FG2A_FREQUENCY,WIDE_OPEN_FG2M,WIDE_OPEN_FG2A,WIDE_OPEN_FG2_PCT,WIDE_OPEN_FG3A_FREQUENCY,WIDE_OPEN_FG3M,WIDE_OPEN_FG3A,WIDE_OPEN_FG3_PCT,OPEN_FGA_FREQUENCY,OPEN_FGM,OPEN_FGA,OPEN_FG_PCT,OPEN_EFG_PCT,OPEN_FG2A_FREQUENCY,OPEN_FG2M,OPEN_FG2A,OPEN_FG2_PCT,OPEN_FG3A_FREQUENCY,OPEN_FG3M,OPEN_FG3A,OPEN_FG3_PCT
1610612737,Atlanta Hawks,82,36,46,0.439,48.4,118.4,32.2,0.717,7.5,4.5,16.7,13.7,16.6,53.7,1,21,21,21,3,27,22,16,16,26,18,12,28,25,ATL,82,0.25,10.33,22.45,0.46,0.635,0.038,2.46,3.43,0.719,0.212,7.87,19.02,0.413,0.287,12.11,25.77,0.47,0.565,0.135,7.21,12.12,0.595,0.152,4.9,13.65,0.359
1610612738,Boston Celtics,82,64,18,0.78,48.4,110.6,35.6,0.726,6.8,6.6,13.3,13.6,13.0,47.7,1,1,1,1,7,2,1,7,27,1,1,10,4,9,BOS,81,0.253,9.59,23.15,0.414,0.578,0.035,2.0,3.22,0.621,0.217,7.59,19.93,0.381,0.274,11.01,25.14,0.438,0.523,0.133,6.77,12.19,0.555,0.141,4.25,12.95,0.328
1610612739,Cleveland Cavaliers,82,48,34,0.585,48.3,112.1,33.4,0.721,7.4,4.6,17.4,12.9,14.3,46.5,1,11,11,11,10,7,11,14,19,21,24,6,15,4,CLE,82,0.224,8.56,19.57,0.437,0.606,0.033,1.98,2.89,0.684,0.191,6.59,16.68,0.395,0.284,10.79,24.82,0.435,0.529,0.134,6.13,11.68,0.525,0.15,4.66,13.13,0.355
1610612740,New Orleans Pelicans,82,49,33,0.598,48.1,111.9,33.6,0.725,8.3,4.6,15.6,12.8,13.6,46.6,1,8,8,8,26,6,10,8,3,22,10,5,9,5,NOP,81,0.271,9.54,23.62,0.404,0.568,0.031,1.81,2.73,0.665,0.24,7.73,20.89,0.37,0.292,11.06,25.46,0.435,0.53,0.127,6.22,11.04,0.564,0.165,4.84,14.42,0.336
1610612741,Chicago Bulls,82,39,43,0.476,48.7,115.7,32.6,0.717,7.8,4.8,15.2,13.8,13.3,45.4,1,20,20,20,1,22,19,17,9,18,8,15,7,1,CHI,81,0.262,9.96,22.62,0.441,0.621,0.03,1.79,2.6,0.687,0.232,8.17,20.01,0.408,0.286,11.02,24.67,0.447,0.555,0.112,5.72,9.7,0.589,0.173,5.31,14.96,0.355
1610612742,Dallas Mavericks,82,50,32,0.61,48.1,114.9,33.2,0.711,6.9,5.0,15.1,14.3,15.7,51.0,1,6,6,6,26,18,14,21,24,17,7,24,26,20,DAL,81,0.251,9.72,22.64,0.429,0.598,0.038,2.09,3.42,0.61,0.213,7.63,19.22,0.397,0.268,10.96,24.16,0.454,0.537,0.134,6.93,12.11,0.572,0.134,4.04,12.05,0.335
1610612743,Denver Nuggets,82,57,25,0.695,48.1,112.3,33.7,0.718,7.1,5.6,15.9,13.2,13.5,50.3,1,2,2,2,26,8,9,15,21,10,14,8,8,18,DEN,80,0.215,7.93,18.89,0.42,0.578,0.038,1.95,3.35,0.582,0.177,5.98,15.54,0.385,0.272,10.64,23.85,0.446,0.535,0.133,6.41,11.65,0.55,0.139,4.23,12.2,0.346
1610612744,Golden State Warriors,82,46,36,0.561,48.4,114.5,34.6,0.725,7.0,4.6,17.2,13.4,14.9,49.7,1,16,16,16,7,15,4,10,23,23,22,9,20,14,GSW,81,0.249,9.0,22.25,0.405,0.569,0.031,1.67,2.74,0.608,0.218,7.33,19.51,0.376,0.268,10.74,23.96,0.448,0.546,0.117,6.04,10.48,0.576,0.151,4.7,13.48,0.349
1610612745,Houston Rockets,82,41,41,0.5,48.4,112.8,34.0,0.722,7.8,4.6,14.9,13.8,11.7,48.7,1,19,19,19,3,10,6,12,8,24,4,14,1,12,HOU,82,0.227,8.04,19.9,0.404,0.571,0.025,1.38,2.23,0.617,0.201,6.66,17.67,0.377,0.272,10.33,23.88,0.433,0.525,0.121,5.93,10.59,0.56,0.151,4.4,13.29,0.331
1610612746,LA Clippers,82,51,31,0.622,48.1,114.6,32.9,0.705,7.8,5.0,15.7,14.0,14.9,49.7,1,5,5,5,26,16,17,24,7,15,11,20,21,14,LAC,81,0.244,9.44,21.54,0.438,0.601,0.04,2.46,3.56,0.691,0.204,6.99,17.99,0.388,0.277,11.36,24.42,0.465,0.561,0.131,6.68,11.51,0.58,0.146,4.68,12.91,0.362
