TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,TEAM_ABBREVIATION,G,WIDE_OPEN_FGA_FREQUENCY,WIDE_OPEN_FGM,WIDE_OPEN_FGA,WIDE_OPEN_FG_PCT,WIDE_OPEN_EFG_PCT,WIDE_OPEN_FG2A_FREQUENCY,WIDE_OPEN_FG2M,WIDE_OPEN_FG2A,WIDE_OPEN_FG2_PCT,WIDE_OPEN_FG3A_FREQUENCY,WIDE_OPEN_FG3M,WIDE_OPEN_FG3A,WIDE_OPEN_FG3_PCT,OPEN_FGA_FREQUENCY,OPEN_FGM,OPEN_FGA,OPEN_FG_PCT,OPEN_EFG_PCT,OPEN_FG2A_FREQUENCY,OPEN_FG2M,OPEN_FG2A,OPEN_FG2_PCT,OPEN_FG3A_FREQUENCY,OPEN_FG3M,OPEN_FG3A,OPEN_FG3_PCT
1610612737,Atlanta Hawks,82,41,41,0.5,48.4,115.4,33.2,0.717,7.1,4.9,15.7,14.1,15.4,54.7,1,17,17,17,8,22,12,18,18,12,9,20,26,29,ATL,82,0.218,8.43,19.7,0.428,0.589,0.035,2.09,3.18,0.655,0.183,6.34,16.51,0.384,0.293,11.82,26.4,0.448,0.538,0.139,7.02,12.54,0.56,0.154,4.79,13.87,0.346
1610612738,Boston Celtics,82,57,25,0.695,48.7,110.6,35.6,0.746,6.4,5.2,15.4,12.7,13.2,48.9,1,2,2,2,1,2,3,1,27,6,5,7,10,9,BOS,82,0.236,8.6,21.27,0.404,0.559,0.037,2.02,3.35,0.604,0.199,6.57,17.91,0.367,0.289,11.82,26.1,0.453,0.531,0.15,7.72,13.56,0.569,0.139,4.1,12.54,0.327
1610612739,Cleveland Cavaliers,82,51,31,0.622,48.5,109.9,31.4,0.715,7.1,4.7,15.5,12.1,12.7,46.3,1,5,5,5,5,1,25,20,15,14,6,4,6,3,CLE,82,0.187,6.74,15.63,0.431,0.603,0.025,1.38,2.05,0.673,0.163,5.37,13.59,0.395,0.302,11.09,25.18,0.44,0.531,0.146,6.51,12.22,0.533,0.155,4.57,12.96,0.353
1610612740,New Orleans Pelicans,82,42,40,0.512,48.4,112.0,33.1,0.732,8.3,4.1,18.0,13.4,13.9,49.5,1,15,15,15,8,6,13,5,2,24,22,13,17,12,NOP,82,0.242,8.45,20.98,0.403,0.56,0.032,1.88,2.74,0.684,0.21,6.57,18.23,0.361,0.316,12.07,27.34,0.442,0.529,0.145,7.27,12.59,0.578,0.17,4.8,14.76,0.326
1610612741,Chicago Bulls,82,40,42,0.488,48.5,111.5,33.9,0.736,7.9,4.5,15.6,11.9,12.9,46.9,1,19,19,19,4,5,9,3,7,19,7,2,7,4,CHI,81,0.22,7.9,19.12,0.413,0.586,0.021,1.28,1.85,0.693,0.199,6.62,17.27,0.383,0.312,11.81,27.09,0.436,0.537,0.127,6.36,11.04,0.576,0.185,5.46,16.05,0.34
1610612742,Dallas Mavericks,82,38,44,0.463,48.6,116.1,31.2,0.717,6.3,3.7,15.0,14.5,13.3,51.1,1,21,21,21,3,25,27,17,29,28,3,23,11,18,DAL,82,0.203,7.38,17.48,0.422,0.591,0.028,1.46,2.43,0.603,0.175,5.91,15.05,0.393,0.297,11.41,25.56,0.447,0.529,0.15,7.18,12.96,0.554,0.146,4.23,12.6,0.336
1610612743,Denver Nuggets,82,53,29,0.646,48.2,113.5,32.9,0.727,7.5,4.5,17.4,13.4,13.7,52.5,1,4,4,4,25,15,15,11,11,20,19,14,14,21,DEN,82,0.221,7.77,19.27,0.403,0.555,0.034,1.93,2.95,0.653,0.187,5.84,16.32,0.358,0.295,12.01,25.78,0.466,0.553,0.147,7.52,12.84,0.586,0.148,4.49,12.94,0.347
1610612744,Golden State Warriors,82,44,38,0.537,48.4,113.4,34.1,0.719,7.2,4.0,19.4,13.3,14.1,49.8,1,11,11,11,12,14,7,16,14,25,29,9,18,14,GSW,81,0.226,8.79,20.47,0.429,0.595,0.034,2.0,3.12,0.64,0.192,6.79,17.35,0.391,0.298,11.73,27.0,0.434,0.529,0.133,6.63,12.09,0.549,0.165,5.1,14.91,0.342
1610612745,Houston Rockets,82,22,60,0.268,48.2,118.6,32.9,0.729,7.3,4.6,20.6,13.0,17.5,49.0,1,28,28,28,25,29,17,9,13,18,30,8,30,10,HOU,82,0.266,10.06,23.48,0.429,0.6,0.033,2.0,2.94,0.68,0.233,8.06,20.54,0.393,0.298,11.66,26.22,0.445,0.55,0.124,6.13,10.91,0.562,0.174,5.52,15.3,0.361
1610612746,LA Clippers,82,44,38,0.537,48.4,113.6,33.4,0.731,7.1,4.4,18.1,13.3,14.6,51.1,1,11,11,11,12,17,11,7,18,21,23,11,21,19,LAC,82,0.214,8.33,18.93,0.44,0.61,0.034,1.91,3.01,0.636,0.18,6.41,15.91,0.403,0.312,11.9,27.57,0.432,0.516,0.152,7.24,13.4,0.54,0.16,4.66,14.17,0.329
